T-3,T-2,T-1,Qt-2,Qt-1,QT,Q1+Q2,Q1+Q2+Q3,Q1+Q1+Q3+Q4,Qmax,RT,Rt-1,Vt-1,Vt-2,d,Y,N
-21.96850899,-22.86855813,20.61686107,146.1,132.69,144.4,277.09,423.19,440.69,43,144.52,146.76,-2.24,-6.13,741.5,664,33.6617842
-22.86855813,20.61686107,33.6617842,132.69,144.4,224,368.4,501.09,647.19,58.6,144.24,144.52,-0.28,-2.52,930,741.5,86.4501315
20.61686107,33.6617842,86.4501315,144.4,224,75.1,299.1,443.5,576.19,51.7,144.88,144.24,0.64,0.36,1240.9,930,59.34058902
33.6617842,86.4501315,59.34058902,224,75.1,78,153.1,377.1,521.5,41.5,145.02,144.88,0.14,0.78,1426.1,1240.9,7.036351299
86.4501315,59.34058902,7.036351299,75.1,78,39.58,117.58,192.68,416.68,9.3,153.06,145.02,8.04,8.18,1437.2,1426.1,17.63101451
59.34058902,7.036351299,17.63101451,78,39.58,70.2,109.78,187.78,262.88,27.4,155.52,153.06,2.46,10.5,1436.1,1437.2,8.218609984
7.036351299,17.63101451,8.218609984,39.58,70.2,13.1,83.3,122.88,200.88,3.7,155.48,155.52,-0.04,2.42,1441,1436.1,-44.76379173
17.63101451,8.218609984,-44.76379173,70.2,13.1,42.2,55.3,125.5,165.08,11.4,154.97,155.48,-0.51,-0.55,1430.3,1441,-28.2727701
8.218609984,-44.76379173,-28.2727701,13.1,42.2,3.5,45.7,58.8,129,1.8,153.13,154.97,-1.84,-2.35,1437.783016,1430.3,-12.80335146
-44.76379173,-28.2727701,-12.80335146,42.2,3.5,37.3,40.8,83,96.1,16.3,153.01,153.13,-0.12,-1.96,1428.522663,1437.783016,-27.72070495
-28.2727701,-12.80335146,-27.72070495,3.5,37.3,123,160.3,163.8,206,56.5,152.67,153.01,-0.34,-0.46,1435.061671,1428.522663,-46.69221542
-12.80335146,-27.72070495,-46.69221542,37.3,123,86,209,246.3,249.8,38.1,148.5,152.67,-4.17,-4.51,1434.265317,1435.061671,16.52310738
-27.72070495,-46.69221542,16.52310738,123,86,81.3,167.3,290.3,327.6,27.3,145.47,148.5,-3.03,-7.2,1451.352817,1434.265317,28.23662367
-46.69221542,16.52310738,28.23662367,86,81.3,285.2,366.5,452.5,575.5,70.3,145.6,145.47,0.13,-2.9,1461,1451.352817,63.51635122
16.52310738,28.23662367,63.51635122,81.3,285.2,298.6,583.8,665.1,751.1,77.9,145.72,145.6,0.12,0.25,1492,1461,-4.07943486
28.23662367,63.51635122,-4.07943486,285.2,298.6,57.6,356.2,641.4,722.7,34.3,145.83,145.72,0.11,0.23,1501.5,1492,97.83664538
63.51635122,-4.07943486,97.83664538,298.6,57.6,142.9,200.5,499.1,784.3,32.4,157.06,145.83,11.23,11.34,1710.3,1501.5,-43.72473671
-4.07943486,97.83664538,-43.72473671,57.6,142.9,37,179.9,237.5,536.1,17,171.52,157.06,14.46,25.69,1725.6,1710.3,-5.289026734
