Nt-3,Nt-2,Nt-1,Qt-2,Qt-1,Qt,Q1+Q2,Q1+Q2+Q3,Q1+q2+q3+q4,Qmax,Rt,Rt-1,Vt-1,Vt-2,YZ3,Y3,N
-15.10255686,-9.511231872,-0.663088258,156.93,188.4,168.2,356.6,513.53,562.73,52.5,144.52,146.75,-2.23,-6.13,544.7,532.6,8.136504326
-9.511231872,-0.663088258,8.136504326,188.4,168.2,179,347.2,535.6,692.53,56.8,144.24,144.52,-0.28,-2.51,583.2,544.7,13.38026692
-0.663088258,8.136504326,13.38026692,168.2,179,69.7,248.7,416.9,605.3,31.5,144.88,144.24,0.64,0.36,644.8,583.2,13.66700139
8.136504326,13.38026692,13.66700139,179,69.7,77.8,147.5,326.5,494.7,42.1,145.02,144.88,0.14,0.78,654,644.8,9.979703095
13.38026692,13.66700139,9.979703095,69.7,77.8,35.2,113,182.7,361.7,9.4,153.06,145.02,8.04,8.18,654.8,654,3.891319159
13.66700139,9.979703095,3.891319159,77.8,35.2,71.1,106.3,184.1,253.8,32.9,155.52,153.06,2.46,10.5,653.6,654.8,-3.011990754
9.979703095,3.891319159,-3.011990754,35.2,71.1,17.1,88.2,123.4,201.2,4,155.48,155.52,-0.04,2.42,662.4,653.6,-9.08720684
3.891319159,-3.011990754,-9.08720684,71.1,17.1,24,41.1,112.2,147.4,7.3,154.97,155.48,-0.51,-0.55,670.6,662.4,-12.98698012
-3.011990754,-9.08720684,-12.98698012,17.1,24,5.6,29.6,46.7,117.8,2.8,153.13,154.97,-1.84,-2.35,662.4077294,670.6,-14.16961588
-9.08720684,-12.98698012,-14.16961588,24,5.6,60.4,66,90,107.1,21.5,153.01,153.13,-0.12,-1.96,668.0007485,662.4077294,-12.5068896
-12.98698012,-14.16961588,-12.5068896,5.6,60.4,139.8,200.2,205.8,229.8,58.4,152.67,153.01,-0.34,-0.46,672.200119,668.0007485,-7.681112617
-14.16961588,-12.5068896,-7.681112617,60.4,139.8,109.8,249.6,310,315.6,60.2,148.5,152.67,-4.17,-4.51,671.804287,672.200119,0.448877122
-12.5068896,-7.681112617,0.448877122,139.8,109.8,68.2,178,317.8,378.2,27.1,145.47,148.5,-3.03,-7.2,683.8018719,671.804287,9.907880777
-7.681112617,0.448877122,9.907880777,109.8,68.2,199.1,267.3,377.1,516.9,63.1,145.6,145.47,0.13,-2.9,691.6,683.8018719,17.60540325
0.448877122,9.907880777,17.60540325,68.2,199.1,296.4,495.5,563.7,673.5,87.8,145.72,145.6,0.12,0.25,706,691.6,21.06953463
9.907880777,17.60540325,21.06953463,199.1,296.4,55.9,352.3,551.4,619.6,37.3,145.83,145.72,0.11,0.23,719.9,706,18.27872015
17.60540325,21.06953463,18.27872015,296.4,55.9,137.5,193.4,489.8,688.9,27.6,157.06,145.83,11.23,11.34,816.9,719.9,8.399563342
