date,ture_displacement,pred_displacement
1,583.2,584.7139904
2,644.8,644.3151719
3,654,654.4131761
4,654.8,650.7771778
5,653.6,657.6557931
6,662.4,666.4602057
7,670.6,665.60657
8,662.4077294,669.5845082
9,668.0007485,659.458594
10,672.200119,673.0917991
11,671.804287,674.9685695
12,683.8018719,673.1183302
13,691.6,695.3293118
14,706,705.7303629
15,719.9,719.3355886
16,816.9,818.3959702
17,826.2,826.4141241
18,823.7,821.3368808
19,828.4,826.8111617
20,831.2,828.255742
21,826.1,822.7904978
22,834.3,834.8634237
23,843.7,840.9123161
24,841.2,849.2703196
25,927.6,925.0231927
26,1041.8,1038.325271
27,1072.8,1070.441265
28,1077.1,1080.518904
29,1087.4,1085.689451
30,1087.7,1086.647247
31,1091,1090.662574
32,1091.1,1095.86836
33,1089.5,1091.74311
34,1101.7,1105.977575
35,1111.4,1113.397122
36,1109.8,1108.540223
37,1121.4,1134.832612
38,1189.4,1189.984141
39,1232.9,1232.544987
40,1253.5,1253.67374
41,1268.3,1265.170298
42,1264.2,1269.907625
43,1262,1261.742478
44,1264.8,1267.544512
45,1273.8,1266.29882
46,1281.9,1284.14981
47,1291.6,1292.454653
48,1304.8,1296.423677
49,1354.9,1352.109026
50,1473,1472.446643
51,1483.7,1484.315384
52,1506.9,1506.640452
53,1498.4,1499.685169
54,1511.1,1509.983218
55,1514.6,1515.761468
56,1514.6,1522.594863
57,1521.5,1514.5339
58,1528.5,1537.114292
59,1531.2,1542.014931
60,1537.1,1533.184401
61,1564.5,1596.261978
62,1731.3,1704.416603
63,1711.4,1695.965488
64,1736.7,1761.98547
65,1761.4,1759.971382
66,1749.7,1755.953475
67,1767.6,1760.677791
